Location,"Total
Offenses","Animal
Cruelty","Drug/
Narcotic
Offenses","Gambling
Offenses","Pornography/
Obscene
Material","Prostitution
Offenses","Weapon
Law
Violations"
Total,"1,273,179","11,566","1,039,388","1,444","25,268","7,364","188,149"
Abandoned/Condemned Structure,712,11,616,1,1,5,78
Air/Bus/Train Terminal,"5,692",13,"3,610",0,15,17,"2,037"
Amusement Park,151,0,121,0,2,0,28
Arena/Stadium/Fairgrounds/Coliseum,151,3,117,0,3,0,28
ATM Separate from Bank,41,1,25,0,1,0,14
Auto Dealership New/Used,618,4,502,5,5,1,101
Bank/Savings and Loan,"1,246",1,"1,089",0,5,3,148
Bar/Nightclub,"2,971",5,"1,857",28,15,27,"1,039"
Camp/Campground,760,9,621,1,3,2,124
Church/Synagogue/Temple/Mosque,"1,953",4,"1,724",0,26,5,194
Commercial/Office Building,"7,778",94,"6,020",204,110,201,"1,149"
Community Center,337,1,266,1,11,2,56
Construction Site,621,3,528,2,2,0,86
Convenience Store,"21,770",41,"18,793",201,35,51,"2,649"
Cyberspace,"3,812",0,18,8,"3,722",51,13
Daycare Facility,107,1,91,1,4,0,10
Department/Discount Store,"17,427",77,"15,539",11,83,18,"1,699"
Dock/Wharf/Freight/Modal Terminal,"1,108",0,"1,087",0,0,0,21
Drug Store/Doctor's Office/Hospital,"7,257",41,"6,676",1,43,13,483
Farm Facility,233,92,106,0,3,0,32
Field/Woods,"8,777",357,"6,191",2,32,74,"2,121"
Gambling Facility/Casino/Race Track,"2,889",2,"2,057",382,4,268,176
Government/Public Building,"9,993",55,"8,087",47,"1,024",37,743
Grocery/Supermarket,"10,390",67,"9,510",7,49,19,738
Highway/Road/Alley/Street/Sidewalk,"662,860",900,"569,424",97,241,"2,307","89,891"
Hotel/Motel/Etc.,"36,357",101,"30,474",1,179,"2,179","3,423"
Industrial Site,517,2,444,3,3,3,62
Jail/Prison/Penitentiary/Corrections Facility,"12,225",1,"11,429",1,80,9,705
Lake/Waterway/Beach,"1,681",30,"1,441",0,6,3,201
Liquor Store,681,1,439,0,4,1,236
Military Installation,61,1,48,0,2,0,10
Park/Playground,"11,767",118,"10,054",4,60,27,"1,504"
Parking/Drop Lot/Garage,"108,024",640,"92,544",9,130,465,"14,236"
Rental Storage Facility,"1,581",20,"1,322",1,20,0,218
Residence/Home,"234,797","8,160","161,151",173,"14,679","1,022","49,612"
Rest Area,514,0,435,1,5,3,70
Restaurant,"8,112",36,"6,772",24,81,34,"1,165"
School/College,"3,736",5,"3,200",3,181,3,344
School-College/University,"4,627",10,"4,176",0,104,4,333
School-Elementary/Secondary,"14,162",13,"10,813",6,"1,175",7,"2,148"
Service/Gas Station,"16,874",20,"14,559",30,16,55,"2,194"
Shelter-Mission/Homeless,501,8,447,0,10,2,34
Shopping Mall,"1,782",26,"1,439",16,13,16,272
Specialty Store,"7,160",43,"4,370",40,52,51,"2,604"
Tribal Lands,72,0,60,1,0,0,11
Other/Unknown,"38,294",549,"29,096",132,"3,029",379,"5,109"
